click_index,segment,us,ms
1,us_click_to_restore,1698,1.7
1,us_restore_to_tabfound,637327,637.3
1,us_tabfound_to_select,88980,89
1,us_select_to_confirm,79383,79.4
2,us_click_to_restore,1369,1.4
2,us_restore_to_tabfound,434140,434.1
2,us_tabfound_to_select,52894,52.9
2,us_select_to_confirm,62392,62.4
3,us_click_to_restore,1437,1.4
3,us_restore_to_tabfound,596232,596.2
3,us_tabfound_to_select,94309,94.3
3,us_select_to_confirm,76248,76.2
4,us_click_to_restore,1752,1.8
4,us_restore_to_tabfound,375121,375.1
4,us_tabfound_to_select,77490,77.5
4,us_select_to_confirm,76147,76.1
5,us_click_to_restore,1153,1.2
5,us_restore_to_tabfound,234674,234.7
5,us_tabfound_to_select,57665,57.7
5,us_select_to_confirm,64579,64.6
6,us_click_to_restore,962,1
6,us_restore_to_tabfound,475981,476
6,us_tabfound_to_select,82507,82.5
6,us_select_to_confirm,69318,69.3
7,us_click_to_restore,1049,1
7,us_restore_to_tabfound,412376,412.4
7,us_tabfound_to_select,85142,85.1
7,us_select_to_confirm,72691,72.7
